time,ecg
1.9,-68864.85714285713
3.9,-86390.71428571428
5.9,-103885.71428571428
7.9,-121209.85714285713
9.9,-121403.71428571429
11.9,-121330.0
13.9,-121140.71428571428
15.9,-120845.57142857142
17.9,-120496.28571428571
19.9,-120279.14285714286
21.9,-120323.42857142855
23.9,-120575.14285714284
25.9,-120889.2857142857
27.9,-121146.2857142857
29.9,-121271.42857142855
31.9,-121228.85714285713
33.9,-121034.42857142855
35.9,-120749.99999999999
37.9,-120462.14285714284
39.9,-120284.2857142857
41.9,-120318.42857142855
43.9,-120560.5714285714
45.9,-120887.71428571426
47.9,-121164.85714285713
49.9,-121308.99999999999
51.9,-121280.2857142857
53.9,-121096.71428571428
55.9,-120831.42857142857
57.9,-120559.85714285713
59.9,-120355.42857142857
61.9,-120297.42857142858
63.88,-120404.42857142857
65.85,-120603.85714285713
67.83,-120797.14285714287
69.8,-120895.28571428571
71.8,-120829.14285714286
73.8,-120620.14285714286
75.8,-120382.0
77.8,-120200.0
79.8,-120094.42857142858
81.8,-120100.28571428571
83.8,-120257.14285714284
85.8,-120521.71428571426
87.8,-120773.57142857142
89.8,-120898.71428571426
91.8,-120849.28571428571
93.8,-120665.42857142858
95.8,-120439.14285714286
97.8,-120241.42857142857
99.8,-120112.71428571429
101.8,-120095.5714285714
103.8,-120205.99999999999
105.8,-120398.5714285714
107.8,-120595.85714285713
109.8,-120715.28571428571
111.8,-120681.71428571429
113.8,-120493.57142857142
115.8,-120256.14285714286
117.8,-120081.85714285714
119.8,-119998.0
121.8,-119996.42857142857
123.8,-120092.71428571428
125.8,-120275.42857142855
127.8,-120461.2857142857
129.8,-120555.99999999999
131.8,-120527.85714285713
133.8,-120399.5714285714
135.8,-120213.14285714286
137.8,-120030.42857142857
139.8,-119935.71428571429
141.8,-119979.71428571428
143.78,-120123.14285714286
145.75,-120279.71428571428
147.73,-120405.42857142857
149.7,-120485.28571428571
151.7,-120476.28571428571
153.7,-120350.57142857142
155.7,-120163.57142857142
157.7,-120004.14285714286
159.7,-119921.14285714286
161.7,-119934.71428571428
163.7,-120046.99999999999
165.7,-120208.85714285713
167.7,-120338.99999999999
169.7,-120388.85714285713
171.7,-120357.85714285713
173.7,-120264.28571428571
175.7,-120128.2857142857
177.7,-119980.42857142857
179.7,-119875.85714285713
181.7,-119876.0
183.7,-119990.99999999999
185.7,-120157.85714285713
187.7,-120294.85714285713
189.7,-120363.14285714284
191.7,-120371.2857142857
193.7,-120340.57142857142
195.7,-120276.85714285713
197.7,-120185.42857142858
199.7,-120109.99999999999
201.7,-120119.71428571428
203.7,-120236.99999999999
205.7,-120403.28571428571
207.7,-120535.14285714286
209.7,-120596.28571428572
211.7,-120603.71428571429
213.7,-120583.14285714287
215.7,-120540.42857142858
217.7,-120481.85714285712
219.7,-120441.28571428571
221.7,-120459.99999999999
223.68,-120545.2857142857
225.65,-120665.5714285714
227.63,-120769.2857142857
229.6,-120804.14285714283
231.6,-120749.99999999997
233.6,-120641.28571428568
235.6,-120533.85714285712
237.6,-120455.42857142855
239.6,-120409.57142857142
241.6,-120409.85714285713
243.6,-120479.99999999997
245.6,-120618.71428571426
247.6,-120774.57142857142
249.6,-120867.28571428571
251.6,-120851.57142857143
253.6,-120759.14285714286
255.6,-120662.71428571429
257.6,-120604.0
259.6,-120573.57142857142
261.6,-120557.14285714286
263.6,-120576.14285714286
265.6,-120660.28571428572
267.6,-120782.14285714286
269.6,-120855.85714285714
271.6,-120822.0
273.6,-120710.85714285713
275.6,-120596.0
277.6,-120515.85714285713
279.6,-120464.42857142855
281.6,-120434.71428571426
283.6,-120436.42857142855
285.6,-120479.99999999997
287.6,-120551.14285714284
289.6,-120605.71428571426
291.6,-120598.14285714284
293.6,-120526.28571428571
295.6,-120436.28571428571
297.6,-120380.71428571429
299.6,-120380.85714285714
301.5,-120424.14285714286
303.5,-120484.57142857143
305.5,-120548.14285714287
307.5,-120618.57142857143
309.5,-120689.71428571429
311.5,-120722.71428571428
313.5,-120679.42857142855
315.5,-120578.99999999999
317.5,-120496.2857142857
319.5,-120490.5714285714
321.5,-120544.71428571426
323.5,-120595.2857142857
325.5,-120621.42857142857
327.5,-120664.14285714284
329.5,-120741.99999999999
331.5,-120794.42857142857
333.5,-120753.85714285713
335.5,-120642.14285714284
337.5,-120549.5714285714
339.5,-120534.71428571428
341.5,-120576.2857142857
343.5,-120619.71428571429
345.5,-120647.42857142857
347.5,-120686.28571428571
349.5,-120751.85714285713
351.5,-120811.85714285713
353.5,-120818.57142857142
355.5,-120765.85714285713
357.5,-120699.14285714284
359.5,-120673.71428571428
361.5,-120710.42857142857
363.5,-120784.42857142857
365.5,-120852.42857142857
367.5,-120892.28571428571
369.5,-120913.28571428571
371.5,-120930.57142857142
373.48,-120937.28571428571
375.45,-120907.0
377.43,-120831.2857142857
379.4,-120750.57142857143
381.4,-120726.57142857142
383.4,-120771.0
385.4,-120823.28571428571
387.4,-120824.14285714284
389.4,-120786.42857142857
391.4,-120762.14285714284
393.4,-120761.85714285713
395.4,-120741.85714285713
397.4,-120672.42857142857
399.4,-120594.71428571428
401.4,-120581.14285714286
403.4,-120642.28571428571
405.4,-120712.0
407.4,-120735.0
409.4,-120725.85714285714
411.4,-120722.85714285714
413.4,-120726.85714285714
415.4,-120711.85714285714
417.4,-120669.42857142858
419.4,-120624.71428571428
421.4,-120617.28571428572
423.4,-120666.28571428572
425.4,-120747.57142857142
427.4,-120811.71428571429
429.4,-120831.42857142857
431.4,-120822.85714285714
433.4,-120816.71428571429
435.4,-120817.42857142858
437.4,-120803.85714285714
439.4,-120769.42857142858
441.4,-120743.57142857143
443.4,-120761.14285714286
445.4,-120820.14285714286
447.4,-120878.71428571429
449.4,-120892.28571428571
451.4,-120855.99999999999
453.38,-120808.85714285714
455.35,-120786.42857142858
457.33,-120777.14285714287
459.3,-120748.42857142858
461.3,-120709.85714285714
463.3,-120712.85714285713
465.3,-120778.0
467.3,-120854.85714285713
469.3,-120874.99999999999
471.3,-120826.71428571428
473.3,-120755.28571428571
475.3,-120699.0
477.3,-120651.0
479.3,-120587.14285714286
481.3,-120515.57142857142
483.3,-120479.85714285713
485.3,-120509.42857142857
487.3,-120580.99999999999
489.3,-120642.5714285714
491.3,-120669.5714285714
493.3,-120682.42857142855
495.3,-120711.2857142857
497.3,-120761.28571428571
499.3,-120813.14285714286
501.3,-120847.57142857142
503.3,-120863.14285714286
505.3,-120874.14285714286
507.3,-120890.57142857142
509.3,-120898.42857142857
511.3,-120865.14285714286
513.3,-120782.0
515.3,-120694.57142857142
517.3,-120666.57142857142
519.3,-120704.71428571428
521.3,-120752.85714285713
523.3,-120774.42857142855
525.3,-120802.85714285713
527.3,-120878.14285714284
529.3,-120969.71428571428
531.3,-121005.14285714284
533.28,-120960.71428571428
535.25,-120888.42857142857
537.23,-120851.28571428571
539.2,-120854.57142857142
541.2,-120855.85714285713
543.2,-120834.42857142855
545.2,-120821.14285714284
547.2,-120848.2857142857
549.2,-120899.2857142857
551.2,-120933.28571428571
553.2,-120938.85714285713
555.2,-120939.28571428571
557.2,-120957.28571428571
559.2,-120992.42857142857
561.2,-121029.42857142855
563.2,-121053.71428571426
565.2,-121053.57142857142
567.2,-121012.5714285714
569.2,-120915.28571428571
571.2,-120753.99999999999
573.2,-120518.42857142855
575.2,-120194.14285714286
577.2,-119795.14285714287
579.2,-119381.42857142858
581.2,-119017.14285714286
583.2,-118716.42857142857
585.2,-118462.14285714286
587.2,-118275.71428571428
589.2,-118231.85714285714
591.2,-118379.71428571428
593.2,-118676.42857142857
595.2,-119040.42857142857
597.2,-119444.85714285713
599.2,-119904.14285714284
601.2,-120386.42857142855
603.2,-120802.2857142857
605.2,-121080.71428571428
607.2,-121218.28571428571
609.2,-121253.85714285714
611.2,-121228.0
613.18,-121163.57142857143
615.15,-121065.14285714286
617.13,-120936.2857142857
619.1,-120810.28571428571
621.1,-120742.14285714286
623.1,-120745.85714285713
625.1,-120768.71428571428
627.1,-120766.57142857142
629.1,-120762.99999999999
631.1,-120788.85714285713
633.1,-120815.71428571428
635.1,-120806.0
637.1,-120774.57142857143
639.1,-120752.14285714287
641.1,-120737.14285714287
643.1,-120722.14285714286
645.1,-120725.85714285713
647.1,-120759.42857142855
649.1,-120792.85714285714
651.1,-120792.85714285714
653.1,-120773.14285714286
655.1,-120765.14285714286
657.1,-120764.0
659.1,-120748.85714285713
661.1,-120728.42857142857
663.1,-120719.14285714286
665.1,-120718.57142857142
667.1,-120723.71428571428
669.1,-120732.71428571428
671.1,-120725.28571428571
673.1,-120689.42857142858
675.1,-120653.14285714284
677.1,-120650.71428571428
679.1,-120674.71428571426
681.1,-120695.71428571428
683.1,-120707.2857142857
685.1,-120725.5714285714
687.1,-120757.71428571428
689.1,-120786.85714285713
691.1,-120787.42857142857
693.08,-120748.71428571428
695.05,-120685.42857142857
697.03,-120631.71428571429
699.0,-120616.57142857142
701.0,-120630.42857142855
703.0,-120634.28571428568
705.0,-120616.8571428571
707.0,-120615.42857142855
709.0,-120656.71428571428
711.0,-120705.85714285714
713.0,-120709.28571428571
715.0,-120668.42857142857
717.0,-120635.42857142858
719.0,-120639.57142857142
721.0,-120652.42857142857
723.0,-120633.7142857143
725.0,-120586.71428571429
727.0,-120549.00000000001
729.0,-120541.00000000001
731.0,-120543.85714285714
733.0,-120529.57142857142
735.0,-120497.42857142857
737.0,-120470.71428571428
739.0,-120466.57142857142
